Orden,Provincia,Codigo,Departamento/Partido,Cantidad de filiales,Hay filiales,Mas de cinco filiales,Mas de cincuenta filiales,Pisos con revestimiento,Agua por cañeria dentro     de la vivienda,Agua para beber y cocinar por red publica,Baño o letrina dentro de la vivienda,Dos o mas baños,Baño con inodoro con arrastre de agua,Desagüe del inodoro del baño a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora. tablet. etc.,Inspeccion en plazo,Equipo de inspeccion
71,BUENOS AIRES,BA,LAS FLORES,5,SI,NO,NO,92.8,95.6,91.1,98.3,23.9,95.9,73.4,67.7,71,68.2,83.4,50.4,SI,NO
72,BUENOS AIRES,BA,LEANDRO N ALEM,2,SI,SI,NO,91.5,95.1,64.5,98,20.2,94.9,76.8,64.8,68.7,74.3,87.1,54.3,SI,SI
73,BUENOS AIRES,BA,LEZAMA,1,SI,SI,NO,94.4,97.5,86.3,99.2,23.1,98.3,78.9,68.6,64.3,79.6,89.9,57.4,NO,NO
74,BUENOS AIRES,BA,LINCOLN,7,SI,NO,NO,93.5,95.4,72.8,98.9,21.3,95.9,62.7,66.1,66.6,80.9,87.9,56.1,NO,NO
75,BUENOS AIRES,BA,LOBERIA,2,SI,SI,NO,91.8,97.2,87,98.8,21.6,97.8,77.2,67.8,67.6,72.3,86.3,53.3,SI,SI
76,BUENOS AIRES,BA,LOBOS,3,SI,SI,NO,91.3,93.3,61.9,97.5,23,93.7,30.3,63.2,65.9,83.7,90.2,56.4,SI,NO
77,BUENOS AIRES,BA,LOMAS DE ZAMORA,18,SI,NO,NO,84.8,92.1,94.5,94.1,25,86.7,47.8,66.2,70,82.3,91.2,59.7,SI,NO
78,BUENOS AIRES,BA,LUJAN,11,SI,NO,NO,89.3,93.9,56.4,98.1,27.2,91.5,38.1,65.4,65.8,80.2,91.6,61.3,NO,SI
79,BUENOS AIRES,BA,MAGDALENA,3,SI,SI,NO,88.3,94.1,76.8,97.2,21.5,93.3,57.1,37,59.7,80.8,88.8,57.5,SI,NO
80,BUENOS AIRES,BA,MAIPU,9,SI,NO,NO,92.8,95.4,92.9,98.2,20.4,95.9,73.8,65.3,68,73.2,86.6,55.7,SI,NO
